topline,headline,content
21.11.2021 23:01 Uhr,Coronavirus-Pandemie,++ Kinderärzte gegen BioNTech-Deckelung ++
21.11.2021 23:01 Uhr,Sieg bei den ATP Finals,Zverev krönt sich zum Tennis-Weltmeister
21.11.2021 22:05 Uhr,Corona-Maßnahmen in Belgien,Ausschreitungen bei Protesten in Brüssel
21.11.2021 20:21 Uhr,Präsidentenwahl in Bulgarien,Präsident Radew vor zweiter Amtszeit
21.11.2021 18:45 Uhr,Wirecard,"Gab es die 1,9 Milliarden Euro doch?"
21.11.2021 18:43 Uhr,Erfolg gegen Daniil Medwedew,Alexander Zverev gewinnt ATP-Finals
21.11.2021 17:38 Uhr,Formel 1 in Katar,Hamilton siegt und verkürzt Rückstand
21.11.2021 17:23 Uhr,Fußball-Bundesliga,Frankfurt verschafft sich Luft nach unten
21.11.2021 17:21 Uhr,Angriff in Jerusalem,Tote und Verletzte bei Attacke am Tempelberg
21.11.2021 16:57 Uhr,Sudan,Entmachteter Regierungschef zurück auf altem Posten
21.11.2021 16:46 Uhr,Corona-Proteste in Österreich,Innenminister warnt vor Radikalisierung
21.11.2021 16:30 Uhr,Tacho-Manipulation,Ein verlockendes Geschäft
21.11.2021 16:21 Uhr,Wüst zur Corona-Lage,"""Wir brauchen Kontrolldruck"""
21.11.2021 14:54 Uhr,3G im Personenverkehr,Was Fahrgäste wissen sollten
21.11.2021 12:47 Uhr,Corona-Proteste,Zweite Nacht der Gewalt in den Niederlanden
21.11.2021 12:27 Uhr,Brand in Dortmund,Deutscher Rock-'n'-Roll-Star Ted Herold ist tot
21.11.2021 11:03 Uhr,Streit über Taiwan,China stuft Beziehungen zu Litauen herab
21.11.2021 09:33 Uhr,Corona-Pandemie,Diese Länder gelten als Hochrisikogebiete
21.11.2021 09:11 Uhr,Folgen des Klimawandels,Trinkwasser wird knapper und teurer
21.11.2021 09:03 Uhr,Corona-Pandemie,Inzidenz erreicht neuen Höchststand
21.11.2021 08:40 Uhr,ATP Finals,Zverev nach Sieg gegen Djokovic im Finale
21.11.2021 08:27 Uhr,La Palma,Vulkanausbruch legt erneut Flugverkehr lahm
21.11.2021 07:21 Uhr,Ein Jahr vor der Fußball-WM,Katars ungelöste Probleme
21.11.2021 07:19 Uhr,Chiles Verfassungskonvent,Wasser für alle?
21.11.2021 05:20 Uhr,Corona-Pandemie,Kindermediziner gegen Schulschließungen
21.11.2021 01:33 Uhr,Corona in Spanien,Es geht auch ohne Impfpflicht - noch
