topline,headline,content
02.04.2022 22:37 Uhr,Krieg gegen die Ukraine,++ Russland will Gespräche fortsetzen ++
02.04.2022 21:40 Uhr,Fußball-Bundesliga,Dortmund verliert Topspiel gegen Leipzig
02.04.2022 20:19 Uhr,Krieg gegen die Ukraine,Ukraine meldet Kontrolle über Region Kiew
02.04.2022 18:58 Uhr,Wahlkampf in Frankreich,Macron wie ein Popstar gefeiert
02.04.2022 18:47 Uhr,Coronavirus-Pandemie,"++ 4,9 Millionen Infizierte in Großbritannien ++"
02.04.2022 18:33 Uhr,"Bundesliga, 28. Spieltag",Arbeitssieg für die Bayern in Freiburg
02.04.2022 18:20 Uhr,Franziskus auf Malta,Papst verurteilt Krieg und Korruption
02.04.2022 18:16 Uhr,Wiedereintrittsstellen der Kirche,Mit dem Glücksrad zurück zu Gott
02.04.2022 17:04 Uhr,Forderung der Bundesnetzagentur,Abschläge für private Gasnutzer schon jetzt erhöhen
02.04.2022 16:27 Uhr,Ägypten,Ramadan beginnt - und Brot wird immer teurer
02.04.2022 16:02 Uhr,Corona-Lockdown in Shanghai,"""Sie füttern uns wie die Kaninchen"""
02.04.2022 15:14 Uhr,Initiative in Uganda,"Genug von der Hilfe der ""Weißen Retter"""
02.04.2022 15:12 Uhr,Photovoltaik-Boom,Riesige Nachfrage nach Solaranlagen
02.04.2022 15:07 Uhr,Vertriebene im Nahen Osten,"""Wir sind Flüchtlinge zweiter Klasse"""
02.04.2022 13:39 Uhr,Nach heftigen Protesten,Sri Lankas Präsident ruft Notstand aus
02.04.2022 13:20 Uhr,Krieg gegen die Ukraine,Neue Versuche für Fluchtkorridore
02.04.2022 13:11 Uhr,Corona-Schutzmaßnahmen,Ende der Maskenpflicht weiter umstritten
02.04.2022 12:26 Uhr,Ukraine-Krieg,China bestreitet Umgehung von Russland-Sanktionen
02.04.2022 12:18 Uhr,EU und Russland,"""Jetzt zeigt sich, dass wir recht hatten"""
02.04.2022 10:46 Uhr,Fußballclub vor Verkauf,Zeitenwende beim FC Chelsea
02.04.2022 09:51 Uhr,Krieg gegen die Ukraine,USA geben weitere 300 Mio. Dollar Militärhilfe
02.04.2022 09:02 Uhr,Coronavirus,Warum man sich mehrmals infizieren kann
02.04.2022 08:29 Uhr,Krieg in der Ukraine,3000 Menschen aus Mariupol gerettet
02.04.2022 08:15 Uhr,Will Smith tritt aus Oscar-Akademie aus,"""Ich bin untröstlich"""
02.04.2022 04:46 Uhr,Israel nach Anschlagsserie,Mit gemischten Gefühlen in den Ramadan
02.04.2022 02:39 Uhr,Nach Russlands Invasion,Ukraine dementiert Angriff auf Treibstoffdepot
02.04.2022 01:57 Uhr,Region Tigray in Äthiopien,Erster Hilfskonvoi seit drei Monaten
02.04.2022 00:12 Uhr,Krieg gegen die Ukraine,++ Ukraine dementiert Angriff auf Tanklager ++
