topline,headline,content
18.12.2021 23:52 Uhr,Großbritannien,Brexit-Minister Frost legt Amt nieder
18.12.2021 23:08 Uhr,Sorge vor Omikron,Gesundheitsminister für schärfere Einreiseregeln
18.12.2021 22:02 Uhr,Coronavirus-Pandemie,++ Omikron in 89 Ländern nachgewiesen ++
18.12.2021 21:07 Uhr,Omikron auf dem Vormarsch,Lockdown in den Niederlanden
18.12.2021 20:26 Uhr,Bundesliga,Hertha verpasst Dortmund weitere Niederlage
18.12.2021 19:57 Uhr,Impfpflicht und Maßnahmen,Zahlreiche Proteste gegen Corona-Politik
18.12.2021 18:43 Uhr,Bundesliga,Geschwächtes Bielefeld schockt RB Leipzig
18.12.2021 17:29 Uhr,Omikron-Variante,London ruft Katastrophenfall aus
18.12.2021 15:51 Uhr,Bundesbauministerin Geywitz,"Eine, die Höhen und Tiefen kennt"
18.12.2021 15:49 Uhr,Modellprojekt in Landshut,In Teilzeit gegen den Pflegenotstand
18.12.2021 14:13 Uhr,Sorge vor Omikron-Variante,Österreich hat jetzt auch einen Krisenstab
18.12.2021 13:12 Uhr,Corona in den USA,Impf-Appell gegen Omikron-Welle im Januar
18.12.2021 12:52 Uhr,Philippinen,Zahl der Todesopfer durch Taifun steigt
18.12.2021 12:39 Uhr,Polen,EU und USA besorgt über Mediengesetz
18.12.2021 12:15 Uhr,Debatte um Impfregister,"""Wir brauchen exakte Zahlen"""
18.12.2021 11:26 Uhr,Flüchtlingstreck durch Mexiko,"""Sehr traurig, all das, was hier passiert"""
18.12.2021 11:19 Uhr,Verkauf von Silvesterböllern,Verband bereitet Klage gegen Verbot vor
18.12.2021 09:30 Uhr,Regionalwährungen,Ein Kupfertaler gegen die Krise
18.12.2021 09:28 Uhr,Corona-Pandemie,Kliniken fürchten Omikron-Welle
18.12.2021 09:00 Uhr,Kontrolle der Impfpflicht in Österreich,Wie funktioniert das Impfregister?
18.12.2021 08:47 Uhr,Russland,Der Postbote in der Taiga
18.12.2021 07:13 Uhr,Corona-Pandemie,"Sieben-Tage-Inzidenz sinkt auf 321,8"
18.12.2021 04:54 Uhr,Republika Srpska,"""Abspaltung hat keinen Sinn"""
18.12.2021 04:19 Uhr,Flucht von Myanmar nach Thailand,"""Wir waren nicht mehr sicher"""
18.12.2021 01:55 Uhr,Bisher härtestes Urteil,Fünf Jahre Haft für Kapitol-Angreifer
18.12.2021 01:00 Uhr,Sorge vor Omikron-Variante,Österreich verschärft Einreiseregeln
