topline,headline,content
12.02.2022 23:48 Uhr,Konvoi in Paris,Protest mit politischem Zündstoff
12.02.2022 23:34 Uhr,Coronavirus-Pandemie,++ Demos gegen Corona-Politik ++
12.02.2022 19:49 Uhr,Bundesversammlung,Wenn Promis wählen
12.02.2022 18:50 Uhr,Fußball-Bundesliga,Bochum düpiert die Bayern
12.02.2022 18:21 Uhr,Auswärtiges Amt,Deutsche sollen Ukraine verlassen
12.02.2022 16:31 Uhr,Trucker-Proteste in Kanada,Polizei beginnt mit Auflösung von Blockade
12.02.2022 16:05 Uhr,Inflation in der Türkei,Textilindustrie vor dem Kollaps
12.02.2022 15:58 Uhr,Olympische Winterspiele,Hannah Neise gewinnt Gold im Skeleton
12.02.2022 15:27 Uhr,Druck der Bundesregierung,Telegram sperrt 64 Kanäle
12.02.2022 14:50 Uhr,Baerbock-Besuch in Kairo,"""Waffenexporte von Menschenrechten abhängig"""
12.02.2022 14:14 Uhr,Trucker-Proteste in Kanada,Lkw-Fahrer ignorieren Gerichtsanordnung
12.02.2022 14:08 Uhr,Umgebung von Paris,Hunderte Protestkonvoi-Autos gestoppt
12.02.2022 12:15 Uhr,"""Chips Act"" der EU",Lohnt sich Europas Chip-Offensive?
12.02.2022 11:56 Uhr,Wahl des Bundespräsidenten,Wer gegen Steinmeier antritt
12.02.2022 11:04 Uhr,Baerbock-Besuch in Ägypten,Klimaschutz und Waffenlieferungen
12.02.2022 10:53 Uhr,Krisen-Gespräch zum Ukraine-Konflikt,Biden und Putin telefonieren heute
12.02.2022 09:58 Uhr,Trucker-Proteste in Kanada,"Party, Drohungen und genervte Anwohner"
12.02.2022 09:28 Uhr,Steinmeier vor Wiederwahl,Der politische Brückenbauer
12.02.2022 09:16 Uhr,Corona-Beschränkungen,Habeck präsentiert Öffnungsplan
12.02.2022 08:38 Uhr,Versorgung auf dem Land,"Warten, bis (k)ein Arzt kommt"
12.02.2022 08:20 Uhr,Fashion Week in New York,Auf dem Weg zum grünen Catwalk
12.02.2022 07:33 Uhr,Coronavirus in Deutschland,Inzidenz steigt nur leicht
12.02.2022 07:00 Uhr,Coronavirus,Schnelltests mit Omikron-Schwächen
12.02.2022 04:14 Uhr,Lage auf Tonga,Mit der Hilfe kam das Virus
12.02.2022 03:02 Uhr,Trucker-Proteste in Kanada,Richter ordnet Ende der Blockade an
12.02.2022 01:45 Uhr,Coronavirus-Pandemie,PCR jetzt nur nach positivem Schnelltest
