topline,headline,content
14.11.2021 23:11 Uhr,Coronavirus-Pandemie,++ Österreich erwägt Ausgangsbeschränkungen ++
14.11.2021 22:57 Uhr,Doppelwahl in Bulgarien,Knapper Vorsprung für Anti-Korruptions-Partei
14.11.2021 21:48 Uhr,Formel-1-WM weiter offen,Hamilton bezwingt Verstappen
14.11.2021 21:43 Uhr,Auto-Explosion in Liverpool,Anti-Terror-Polizei nimmt drei Männer fest
14.11.2021 21:01 Uhr,DFB-Elf und WM-Qualifikation,Zum Abschluss ein ungefährdetes 4:1
14.11.2021 20:41 Uhr,Doppelwahl in Bulgarien,Kopf-an-Kopf-Rennen ums Parlament
14.11.2021 19:05 Uhr,Grenze zu Belarus,Neue EU-Sanktionen und Transit-Gerüchte
14.11.2021 17:39 Uhr,75 Kilometer vor Gran Canaria,Acht Migranten bei Überfahrt gestorben
14.11.2021 16:44 Uhr,Folgen der Lieferengpässe,"Viel Mangel, wenig Ware"
14.11.2021 16:30 Uhr,"""New York Times""",US-Militär vertuschte wohl Angriff in Syrien
14.11.2021 16:05 Uhr,Libyen,Gaddafi-Sohn will Präsident werden
14.11.2021 15:47 Uhr,Österreich,Ungeimpfte müssen in den Lockdown
14.11.2021 15:45 Uhr,Weltklimagipfel,"""Diese Abschlusserklärung ist ein Betrug"""
14.11.2021 15:44 Uhr,Corona in Deutschland,Homeoffice-Pflicht und 3G in Zügen?
14.11.2021 14:31 Uhr,COP26-Abschlusserklärung,Nicht die schlechteste Klimakonferenz
14.11.2021 14:01 Uhr,Steinmeier am Volkstrauertag,"""Gedächtnis versagt vor Verbrechen"""
14.11.2021 12:07 Uhr,Weltkriegsgedenken,Queen sagt öffentlichen Auftritt ab
14.11.2021 11:08 Uhr,Belarusisch-polnischer Konflikt,Migranten durchbrechen offenbar Grenze
14.11.2021 10:29 Uhr,Nach dem Weltklimagipfel,"""Der Weg ist jetzt vorgezeichnet"""
14.11.2021 09:56 Uhr,Erfolgsserie von Netflix,"Spielen wie in ""Squid Game"""
14.11.2021 09:32 Uhr,COP26-Abschlusserklärung,Wie erbärmlich
14.11.2021 08:18 Uhr,Wahlen in Bulgarien,Neue Regierung im dritten Anlauf?
14.11.2021 07:51 Uhr,US-Bundesstaat West Virginia,Wo die Basis der Demokraten erodiert
14.11.2021 07:46 Uhr,Corona in Deutschland,Siebter Inzidenz-Höchstwert in Folge
14.11.2021 06:20 Uhr,COP26-Konsequenzen,Schnellerer Kohleausstieg in Deutschland?
14.11.2021 05:32 Uhr,Belarus,Bas fordert rasche Hilfe für Migranten
14.11.2021 01:12 Uhr,COP26-Abschlusserklärung,Was der Klimagipfel erreicht hat
