topline,headline,content
28.01.2022 22:37 Uhr,Sechster Wahlgang ohne Erfolg,Italien sucht weiter einen Präsidenten
28.01.2022 22:08 Uhr,Coronavirus-Pandemie,++ Inzidenz in Italien sinkt ++
28.01.2022 21:54 Uhr,US-Einschätzung zum Ukraine-Konflikt,Genügend russische Soldaten für Angriff
28.01.2022 20:14 Uhr,Ukraine-Konflikt,Putin reicht Antwort des Westens nicht
28.01.2022 18:58 Uhr,AfD-Austritt von Meuthen,Ein Provokateur im Schafspelz
28.01.2022 18:39 Uhr,Statistiker zu Corona-Daten,"""Die Meldeinzidenz ist problematisch"""
28.01.2022 18:20 Uhr,Olympische Winterspiele in China,Vor allem Autokraten reisen zur Eröffnung
28.01.2022 18:12 Uhr,Grüne wählen neue Parteispitze,Zwischen Kritisieren und Regieren
28.01.2022 17:27 Uhr,Ukraine-Konflikt,SPD sucht nach Haltung zu Russland
28.01.2022 17:23 Uhr,Verfassungsschutz,"""Freie Sachsen"" als Verdachtsfall eingestuft"
28.01.2022 17:09 Uhr,Rüge durch EU-Ombudsfrau,Von der Leyen soll Pfizer-SMS offenlegen
28.01.2022 16:39 Uhr,Neues Corona-Vakzin,Tausende wollen Novavax-Impfung
28.01.2022 16:23 Uhr,Energieversorgung,Kann Katar als Gaslieferant einspringen?
28.01.2022 16:21 Uhr,Meuthen zum AfD-Austritt,"""Ich sehe ganz klar totalitäre Anklänge"""
28.01.2022 15:56 Uhr,Vor Besuch von Biden,Brücke in Pittsburgh eingestürzt
28.01.2022 15:55 Uhr,Frankreich,Hitziger Streit ums Billig-Baguette
28.01.2022 15:36 Uhr,Wegen Spionage,Russischer Diplomat ausgewiesen
28.01.2022 15:18 Uhr,Gas aus dem Iran fehlt,Türkische Produktion auf Sparflamme
28.01.2022 14:32 Uhr,Fußball Bundesliga,Eberl verlässt Borussia Mönchengladbach
28.01.2022 14:06 Uhr,Lukaschenko zum Ukraine-Konflikt,"""Willst Du Frieden, bereite Dich auf Krieg vor"""
28.01.2022 14:03 Uhr,Bundeswehr,Bundestag verlängert Irak-Einsatz
28.01.2022 13:45 Uhr,Langjähriger Parteichef,Meuthen verlässt die AfD
28.01.2022 13:39 Uhr,Bundesanwaltschaft,Anklage gegen IS-Rückkehrerin Romiena S.
28.01.2022 13:27 Uhr,Impfpflicht in Kliniken und Heimen,Pflegerat warnt vor Personalausfall
28.01.2022 13:14 Uhr,Bundesnetzagentur,Verkaufsstopp für 23 Millionen Produkte
28.01.2022 13:07 Uhr,Italien,Präsidentenwahl wird zur Kraftprobe von rechts
28.01.2022 12:57 Uhr,Politischer Druck auf Medien,Was die BBC vor Johnson schützt
28.01.2022 12:28 Uhr,Innenminister zu Corona-Demonstrationen,"""Den Gewaltbereiten entgegenstellen"""
28.01.2022 12:13 Uhr,Auch im Corona-Jahr 2021,Toyota lässt VW weit hinter sich
28.01.2022 11:25 Uhr,Rückschlag für Konjunktur,Deutschlands Wirtschaft schrumpft wieder
28.01.2022 11:23 Uhr,Australien stockt Rettungspaket auf,Weitere Millionen für das Great Barrier Reef
28.01.2022 11:23 Uhr,Chinas Null-Covid-Politik,Harte Zeiten für Fluggesellschaften
28.01.2022 11:08 Uhr,Ziel der Bundesregierung,Fünf-Millionen-Lücke bei Elektroautos?
28.01.2022 10:57 Uhr,Lauterbach und Wieler,"""Omikron-Welle gut unter Kontrolle"""
28.01.2022 10:44 Uhr,Deutsche-Bank-Chef Sewing,"""Haben unseren Aktionären viel abverlangt"""
28.01.2022 10:08 Uhr,Auktion in New York,"45 Millionen für den ""Schmerzensmann"""
28.01.2022 09:05 Uhr,Deutsche in Paraguay,Der kurze Traum von der Impffreiheit
28.01.2022 08:58 Uhr,Kartenzahlung boomt,Schub im Reisemarkt hilft Visa
28.01.2022 08:38 Uhr,Floridas Gouverneur DeSantis,Ernsthafte Konkurrenz für Trump
28.01.2022 07:54 Uhr,Olympische Spiele in China,NGOs fordern diplomatischen Boykott
28.01.2022 07:12 Uhr,Coronavirus in Deutschland,Inzidenz steigt weiter schnell
28.01.2022 07:06 Uhr,Apples Weihnachtsquartal,Rekordverdächtige Zahlen - aber warum?
28.01.2022 06:32 Uhr,Corona-Variante,Wohin führt Omikron?
28.01.2022 06:00 Uhr,Pädokriminelle Bilder im Netz,EU-Abgeordnete fordern Aufklärung
28.01.2022 04:12 Uhr,"Bund, Ländern und Kommunen",Deutlicher Anstieg bei Steuereinnahmen
28.01.2022 03:18 Uhr,Corona-Lagebericht des RKI,Krankheitslast rückt in den Fokus
28.01.2022 02:10 Uhr,Auslandseinsatz der Bundeswehr,Abgeordnete entscheiden über Irak-Mandat
28.01.2022 02:02 Uhr,Telefonat mit ukrainischem Präsidenten,Biden sichert Selenskyj Unterstützung zu
