topline,headline,content
20.01.2022 23:55 Uhr,ARD-DeutschlandTrend,Mehrheit hält Merz für guten Parteichef
20.01.2022 23:01 Uhr,Coronavirus-Pandemie,++ Mainz sagt Straßenkarneval ab ++
20.01.2022 22:27 Uhr,Gewinne wieder abgegeben,US-Börsen rutschen ins Minus
20.01.2022 21:37 Uhr,Trotz hoher Infektionszahlen,Frankreich lockert Corona-Regeln
20.01.2022 20:08 Uhr,Corona-Pandemie,Österreich führt Impfpflicht ein
20.01.2022 19:37 Uhr,Parlamentswahl,Barbados' Labour-Partei kann allein regieren
20.01.2022 19:24 Uhr,Handball-EM,Spanien zeigt Deutschland die Grenzen auf
20.01.2022 19:12 Uhr,Abstimmung im EU-Parlament,Strengere Regeln für Online-Riesen
20.01.2022 18:49 Uhr,Deutsche Umwelthilfe,Zu viel Verpackungsmüll bei Lebensmitteln
20.01.2022 18:40 Uhr,Untersuchung der EU-Kommission,Online-Bewertungen oft nicht nachprüfbar
20.01.2022 18:32 Uhr,Missbrauch im Erzbistum München,Ein Blick in den Abgrund
20.01.2022 18:24 Uhr,Missbrauch in der katholischen Kirche,Kritiker fordern konsequentes Handeln
20.01.2022 18:01 Uhr,Briefkastenfirmen,Deutsche Steueroasen im Visier
20.01.2022 17:54 Uhr,Tierschutz,EU-Parlament will Tiertransporte verbessern
20.01.2022 17:46 Uhr,Energiewende,Söder macht nicht viel Wind für Habeck
20.01.2022 17:15 Uhr,Kardinal Marx nach Gutachten,"""Ich bin erschüttert und beschämt"""
20.01.2022 17:15 Uhr,Mittelmeer,Hunderte Menschen aus Seenot gerettet
20.01.2022 17:04 Uhr,Handball-EM,Weitere Corona-Fälle im deutschen Team
20.01.2022 16:27 Uhr,Ukraine-Konflikt,Baerbock und Blinken warnen Russland
20.01.2022 16:20 Uhr,Rüstungsexporte,U-Boot-Deal mit Israel vereinbart
20.01.2022 16:07 Uhr,Internationale Seefahrt,Stau der Schiffe wird immer länger
20.01.2022 15:59 Uhr,Missbrauch im Erzbistum München,"""Bilanz des Schreckens"""
20.01.2022 15:46 Uhr,Weltrekord,19-jährige Pilotin umrundet die Welt
20.01.2022 15:41 Uhr,Vor Impfpflicht-Abstimmung in Österreich,Lotterie soll Lust aufs Impfen machen
20.01.2022 15:24 Uhr,Verstorbener Marokkaner,Disput um eine Einäscherung
20.01.2022 15:12 Uhr,Trauer um Schauspieler,Hardy Krüger mit 93 Jahren gestorben
20.01.2022 14:52 Uhr,Nach Vulkanausbruch,Trinkwasser und erste Hilfsgüter für Tonga
20.01.2022 14:42 Uhr,Nach Unruhen in Kasachstan,Im Spannungsfeld zwischen China und Russland
20.01.2022 14:34 Uhr,Ortskräfte in Afghanistan,Bisher eine Inhaftierung bekannt
20.01.2022 14:07 Uhr,Missbrauch im Erzbistum München,"""Benedikt XVI. in schlechtem Licht"""
20.01.2022 13:48 Uhr,Ukraine-Konflikt,Russland kritisiert US-Drohgebärden
20.01.2022 13:44 Uhr,Angespannte Sicherheitslage,Mali verweigert Bundeswehr-Maschine den Überflug
20.01.2022 13:10 Uhr,Ausbau von Windkraft,Gegenwind für Habeck in Bayern
20.01.2022 13:06 Uhr,Teure Energie,Rekordinflation im Euroraum
20.01.2022 12:47 Uhr,Müller soll Bundesnetzagentur leiten,Vom Mahner zum Behördenchef
20.01.2022 12:37 Uhr,Missbrauch im Erzbistum München,Gutachten belastet Papst Benedikt XVI.
20.01.2022 12:34 Uhr,Bidens Wirtschaftsbilanz,"Millionen neue Jobs, hohe Inflation"
20.01.2022 12:31 Uhr,Australian Open,Kohlschreiber chancenlos
20.01.2022 12:30 Uhr,EuGH zu Hahn-Beihilfen,Lufthansa scheitert mit Klage
20.01.2022 11:21 Uhr,Bevölkerung in Deutschland,"Es bleibt bei 83,2 Millionen"
20.01.2022 11:05 Uhr,Pleite von MV Werften,An der Spitze der Pyramide
20.01.2022 10:58 Uhr,Digital Services Act,Strengere EU-Regeln für Tech-Konzerne
20.01.2022 10:55 Uhr,Höhere Zusatzbeiträge,21 Millionen Krankenversicherte zahlen drauf
20.01.2022 10:27 Uhr,Fraktionsklausur,Das Russland-Problem der SPD
20.01.2022 09:29 Uhr,Debatte im EU-Parlament,Neue Regeln für Tiertransporte?
20.01.2022 09:24 Uhr,Nach Kapitol-Erstürmung,Trump scheitert am Obersten Gerichtshof
20.01.2022 09:20 Uhr,500.000 Datensätze betroffen,Rotes Kreuz von Hackern attackiert
20.01.2022 09:18 Uhr,Corona-Totimpfstoff,Valneva wirkt offenbar auch gegen Omikron
20.01.2022 08:56 Uhr,Rechtliche Hürden,Wie ein Impfregister aussehen könnte
20.01.2022 08:06 Uhr,Investorengetragene MVZ,Wenn Gesundheit zur Geldfrage wird
20.01.2022 07:58 Uhr,Ukraine-Konflikt,Wie die USA die Ukraine unterstützen
20.01.2022 07:47 Uhr,Antibiotika-Auswertung für 2019,"1,2 Millionen Tote durch resistente Keime"
20.01.2022 07:14 Uhr,Corona-Pandemie,Inzidenz steigt auf mehr als 600
20.01.2022 06:59 Uhr,Jahrestag der Wannseekonferenz,Mit Israel gegen Holocaust-Leugnung
20.01.2022 05:14 Uhr,Habeck bei Söder,Der Kampf um die Windmühlen
20.01.2022 05:13 Uhr,Missbrauchsskandal,Was wussten die Kardinäle?
20.01.2022 04:25 Uhr,Zwischenbilanz nach einem Jahr im Amt,Biden hat sich überschätzt
20.01.2022 03:29 Uhr,US-Vizepräsidentin Harris,"Große Erwartungen, schlechte Schlagzeilen"
20.01.2022 03:28 Uhr,Warnung Lauterbachs,Bald Hunderttausende Neuinfektionen pro Tag?
20.01.2022 02:51 Uhr,Ukraine-Konflikt,US-Präsident Biden sorgt für Irritationen
20.01.2022 02:07 Uhr,Ein Jahr nach Bidens Amtsantritt,Zunehmend hilflos
