topline,headline,content
30.07.2022 23:29 Uhr,Ukraine-Krieg und globale Folgen,++ Ukraine will Gegend um Donezk evakuieren ++
30.07.2022 21:14 Uhr,Nach Corona-Infektion,US-Präsident Biden erneut positiv getestet
30.07.2022 19:54 Uhr,Überschwemmungen in Kentucky,Zahl der Toten steigt auf mindestens 26
30.07.2022 19:06 Uhr,Regierungskrise im Irak,Tausende stürmen erneut Parlament
30.07.2022 18:09 Uhr,Krankheit breitet sich aus,Zweiter Affenpocken-Toter in Spanien
30.07.2022 16:49 Uhr,Reaktionen auf Söders Fracking-Vorschlag,"""Geht's noch?!"""
30.07.2022 16:23 Uhr,Erste Runde im DFB-Pokal,Schwerstaufgaben für die Bundesligisten
30.07.2022 16:20 Uhr,Sadr-Anhänger,Parlament im Irak erneut besetzt
30.07.2022 15:40 Uhr,USA,Lottospieler gewinnt Milliarden-Jackpot
30.07.2022 15:39 Uhr,Energiekrise,Gazprom dreht Lettland Gashahn zu
30.07.2022 15:22 Uhr,Israelische Wirtschaft,Nazareth wird zum High-Tech-Standort
30.07.2022 15:22 Uhr,Mexiko,Muster-Gesetz für kulturelles Eigentum
30.07.2022 13:50 Uhr,Türkei-Besuch der Außenministerin,Opposition lobt Baerbocks klare Kante
30.07.2022 12:56 Uhr,Sicherheitsrisiken und Atommüll,Bundesamt gegen längere AKW-Laufzeiten
30.07.2022 12:33 Uhr,Nahles übernimmt Bundesagentur für Arbeit,"""Da muss was passieren"""
30.07.2022 12:30 Uhr,Österreich,Bestürzung nach Tod von Ärztin
30.07.2022 11:11 Uhr,Kanada-Reise endet in Arktis,Papst entschuldigt sich erneut bei Inuit
30.07.2022 11:07 Uhr,Belgien,Bahn-Chaos nach Thalys-Kollision mit Tier
30.07.2022 09:58 Uhr,Bedingung für Gefangenenaustausch,Kreml will Auslieferung des Tiergarten-Mörders
30.07.2022 09:10 Uhr,Folgen der Dürre,In Frankreich wird der Senf knapp
30.07.2022 09:05 Uhr,Steigende Energiekosten,FDP schlägt Gas-Sparbonus für Hartz-IV-Empfänger vor
30.07.2022 08:51 Uhr,US-Waffenrecht,US-Abgeordnete für Verbot von halbautomatischen Waffen
30.07.2022 08:38 Uhr,Teil-Impfpflicht,"Ungeimpft, aber unverzichtbar"
30.07.2022 08:35 Uhr,Rumänien und Moldau,Warten aufs ukrainische Getreide
30.07.2022 08:31 Uhr,Streit um Übernahme,Nun klagt Musk gegen Twitter
30.07.2022 04:41 Uhr,Italien,Ratlos vor dem Rechtsruck
30.07.2022 02:21 Uhr,Anti-Terror-Partner Niger,Die paradoxe Frage des Sicherheitsmanagements
