topline,headline,content
28.09.2012 23:13 Uhr,ARD-DeutschlandTrend,Merkel liegt deutlich vor Steinbrück
28.09.2012 15:26 Uhr,Französische Regierung beschließt Etat 2013,"""Das ist ein Kampfhaushalt"""
28.09.2012 15:22 Uhr,Parteienforscher über Steinbrück als Kanzlerkandidat,"""Für den linken Flügel akzeptabel geworden"""
28.09.2012 14:31 Uhr,Hohe Energiekosten als Preistreiber,"Preise in Eurozone um 2,7 Prozent gestiegen"
28.09.2012 10:35 Uhr,Religionssoziologe zur Beschneidungsdebatte,"""Antireligiöse Vorbehalte befeuern Debatte"""
28.09.2012 07:02 Uhr,Appell an die Staatengemeinschaft,UN beklagt fehlende Hilfsgelder
28.09.2012 05:57 Uhr,Schmähfilmproduzent in Haft,Warum wurde Nakoula festgenommen?
28.09.2012 01:49 Uhr,DeutschlandTrend im ARD-Morgenmagazin,Rot-Grün liegt knapp vor Schwarz-Gelb
27.09.2012 22:14 Uhr,Schuldenkrise in Spanien,Spanien spart Milliarden - und gibt mehr aus
27.09.2012 19:19 Uhr,Urteil des Landgerichts Köln,Tagesschau App nicht generell verboten
27.09.2012 17:17 Uhr,Euro-Rettungsschirm gesichert,Gauck unterschreibt ESM-Gesetz
27.09.2012 17:10 Uhr,Arbeitslosenzahlen für September,Herbstbelebung light
27.09.2012 13:24 Uhr,Staatspleite soll abgewendet werden,Einigung auf weiteres griechisches Sparpaket
27.09.2012 02:09 Uhr,Landesweiter Streik in Griechenland,"""Werden den Kampf fortsetzen"""
26.09.2012 16:45 Uhr,Medizinprodukt-Branche im Fokus,EU zieht Lehren aus Brustimplantate-Skandal
26.09.2012 15:17 Uhr,Interview zu Inflationsängsten,"""Staatsanleihenkäufe sind der richtige Weg"""
26.09.2012 15:06 Uhr,Protest in Griechenland,"Wer es sich noch leisten kann, der streikt"
26.09.2012 14:46 Uhr,EU-Bank soll mit mehr Kapital ausgestattet werden,Die vermeintliche Wunderwaffe gegen die Krise
