topline,headline,content
30.05.2022 23:31 Uhr,Krieg gegen die Ukraine,++ Selenskyj drängt EU zu rascher Einigung ++
30.05.2022 21:15 Uhr,IAEA-Bericht,Iran hat mehr angereichertes Uran als erlaubt
30.05.2022 20:37 Uhr,Auswärtiges Amt,Enttäuschung nach Bachelets China-Reise
30.05.2022 20:17 Uhr,"""Frauen aus Stahl""",Ukrainerinnen fordern Freilassung Gefangener
30.05.2022 19:21 Uhr,"CDU-Entwurf für ""Grundwerte-Charta""",Mit neuem Programm zu alter Stärke?
30.05.2022 18:40 Uhr,Orca in der Seine,Verirrter Wal ist tot
30.05.2022 18:22 Uhr,Aktien legen zu,Der DAX zeigt Stärke
30.05.2022 17:41 Uhr,Nazi-Vergleich oder nicht?,Scholz weist Vorwürfe zurück
30.05.2022 17:41 Uhr,Corona-Pandemie,Krankschreibung am Telefon endet
30.05.2022 17:19 Uhr,Scholz in den tagesthemen,"""Ganz klar, dass wir ein Embargo brauchen"""
30.05.2022 17:15 Uhr,Teuerung in Deutschland,"Inflation steigt auf 7,9 Prozent"
30.05.2022 17:07 Uhr,Verhandlung des BGH,"Muss das antisemitische Relief ""Judensau"" weg?"
30.05.2022 17:02 Uhr,Engere Beziehungen,Handel zwischen China und Russland wächst
30.05.2022 15:59 Uhr,Start der Hannover Messe,"Digitaler, effizienter, nachhaltiger"
30.05.2022 15:51 Uhr,Besetztes Schwarzmeergebiet,Getreide aus Ukraine nach Russland verfrachtet
30.05.2022 15:40 Uhr,Tilgung von Auslandsschulden,Russlands Kampf gegen die Staatspleite
30.05.2022 15:07 Uhr,Händler tauschen Geräte,Kartenzahlung vielerorts wieder möglich
30.05.2022 14:39 Uhr,Kostenfaktoren für Bauern,Was die Milch teurer macht
30.05.2022 14:31 Uhr,Diesel und E10 verteuert,Höhere Spritpreise vor Tankrabatt-Start
30.05.2022 14:24 Uhr,Ruinen aus der Bronzezeit,Versunkene Stadt im Irak ausgegraben
30.05.2022 13:53 Uhr,Finanzielle Entlastungen,"Steuerreform statt ""Klimageld""?"
30.05.2022 13:33 Uhr,Queere Menschen an Schulen,Gemobbt und beleidigt
30.05.2022 13:29 Uhr,Vom Jahr 2024 an,Bahn will Streckennetz generalsanieren
30.05.2022 13:24 Uhr,Nach dem 9-Euro-Ticket,Steigende Preise im Nahverkehr erwartet
30.05.2022 13:11 Uhr,"""Menschenverachtende Brutalität""",Bundesweit Ermittlungen wegen Kindesmissbrauchs
30.05.2022 12:23 Uhr,Lockdown-Lockerungen,Shanghai will die Wirtschaft ankurbeln
30.05.2022 11:55 Uhr,Kriminalstatistik des BKA,17.700 Kinder Opfer sexualisierter Gewalt
30.05.2022 11:28 Uhr,Orca in der Seine,Verirrter Wal wird eingeschläfert
30.05.2022 11:17 Uhr,Kaufkraft nimmt ab,Reallöhne zum Jahresbeginn gesunken
30.05.2022 11:06 Uhr,Starkes Einspielergebnis,"""Maverick"" bringt neuen Schub fürs Kino"
30.05.2022 11:03 Uhr,Nach Auftritt beim Kirchentag,Neubauer wirft Scholz Nazi-Vergleich vor
30.05.2022 10:27 Uhr,EU-Gipfel zum Ukraine-Krieg,Vorbei mit europäischer Einigkeit?
30.05.2022 10:08 Uhr,Einigung bei Sondervermögen,Weg frei für Bundeswehr-Milliarden
30.05.2022 09:54 Uhr,Tourismus,Teurer reisen in Krisenzeiten
30.05.2022 09:29 Uhr,Präsidentenwahl in Kolumbien,"In die Stichwahl gegen den ""TikTok-Alten"""
30.05.2022 08:53 Uhr,Xinjiang in China,VW-Chef hält an Fabrik in Uiguren-Region fest
30.05.2022 08:23 Uhr,Russlands Außenminister Lawrow,"""Donbass hat bedingungslose Priorität"""
30.05.2022 08:12 Uhr,Rapsanbau,Die Bauern und das Speiseöl-Problem
30.05.2022 05:18 Uhr,Krieg in der Ukraine,Selenskyj: Russland hat keine Zukunft
30.05.2022 04:59 Uhr,Polen,Öl-Embargo trotz Abhängigkeit von Russland?
30.05.2022 04:45 Uhr,Präsidentenwahl in Kolumbien,Linkskandidat Petro gewinnt erste Runde
30.05.2022 04:07 Uhr,Brasilien,79 Tote nach Unwetter
