topline,headline,content
24.12.2021 23:17 Uhr,Coronavirus-Pandemie,++ Chile kündigt Viertimpfungen ab Februar an ++
24.12.2021 23:01 Uhr,Flüchtlingsboot verunglückt,Erneut mehrere Tote bei Havarien vor Griechenland
24.12.2021 21:34 Uhr,Christmette im Vatikan,Papst fordert Bescheidenheit
24.12.2021 19:56 Uhr,Russisches Gericht,Hohe Geldstrafen für Google und Meta
24.12.2021 19:54 Uhr,Technologiemesse in Las Vegas,CES - diesmal nur eine Geistermesse?
24.12.2021 18:02 Uhr,Reste der Stände,Was mit unverkauften Christbäumen passiert
24.12.2021 17:20 Uhr,Aktionen in vielen Städten,Impfen ohne Weihnachtspause
24.12.2021 16:40 Uhr,Bangladesch,Viele Tote nach Brand auf Fähre
24.12.2021 16:36 Uhr,Weihnachten in Bethlehem,"""Es ist traurig, die Stadt so zu sehen"""
24.12.2021 15:23 Uhr,Strategien gegen Corona-Frust,"""Glücksmomente lassen sich speichern"""
24.12.2021 15:14 Uhr,Norden und Süden Deutschlands,Hunderte Unfälle auf glatten Straßen
24.12.2021 14:33 Uhr,Studie zur Feuerwehr,Bis zu 30 Minuten zum Einsatzort
24.12.2021 13:21 Uhr,Unklare Corona-Datenlage,"""Drei Wochen in der Unwissenheit"""
24.12.2021 12:58 Uhr,Weihnachten,Kirchen rufen zu Zusammenhalt auf
24.12.2021 12:38 Uhr,Per Boot durch den Hells Canyon,Wenn die Weihnachtspost per Schiff kommt
24.12.2021 11:34 Uhr,Weihnachten in Ägypten,Mehr laute als stille Nacht
24.12.2021 11:09 Uhr,Ein Jahr Corona-Impfung,Nicht die Kurve gekriegt
24.12.2021 11:05 Uhr,Türkei,Urteil im Fall Tolu vertagt
24.12.2021 10:52 Uhr,Hongkong,Weitere Tiananmen-Mahnmale entfernt
24.12.2021 10:11 Uhr,Spenden auf Rekordniveau,Warum die Deutschen 2021 viel spendeten
24.12.2021 08:48 Uhr,Vorzeitige Haftentlassung,Südkoreas Ex-Präsidentin Park begnadigt
24.12.2021 07:18 Uhr,Spiele in Peking 2022,Auch Japans Politiker bleiben Olympia fern
24.12.2021 03:28 Uhr,Weihnachten im Libanon,Kein Fest der Hoffnung
24.12.2021 03:24 Uhr,Weihnachten in der Corona-Pandemie,Bethlehem ohne Pilger
24.12.2021 02:16 Uhr,RKI-Wochenbericht,Omikron in allen Bundesländern nachgewiesen
24.12.2021 00:04 Uhr,Steinmeiers Weihnachtsansprache,"Dank an die ""große, oft stille Mehrheit"""
