topline,headline,content
03.07.2022 23:02 Uhr,Krieg gegen die Ukraine,++ Kiew verkündet Rückzug aus Lyssytschansk ++
03.07.2022 22:56 Uhr,Schüsse in Kopenhagen,Mehrere Tote in Einkaufszentrum
03.07.2022 20:45 Uhr,Dänemark,Schüsse in Kopenhagener Einkaufszentrum
03.07.2022 20:32 Uhr,Kölner CSD,"Bunt, schrill und politisch"
03.07.2022 19:51 Uhr,Rettungseinsatz auf der Marmolata,Tote bei Gletscherabbruch in den Dolomiten
03.07.2022 19:39 Uhr,Russische Band Little Big,"""Maximal nicht einverstanden"""
03.07.2022 19:37 Uhr,Zehn Jahre nach der Pleite,"""Taschengeld"" für die Schlecker-Frauen"
03.07.2022 17:22 Uhr,Protest gegen Verfassungsänderung,Schwere Unruhen in Usbekistan
03.07.2022 16:57 Uhr,Ranking wertvollster Unternehmen,Deutsche Konzerne nicht mehr in Topliga
03.07.2022 16:20 Uhr,Sommerinterview mit Scholz,"Die Heizkosten als ""sozialer Sprengstoff"""
03.07.2022 15:47 Uhr,Schmerzmittelmissbrauch,Unterschätzte Suchtgefahr?
03.07.2022 15:42 Uhr,Paul-Spiegel-Preis,"""Omas gegen Rechts"" und Tennis Borussia geehrt"
03.07.2022 14:39 Uhr,Gestrichene Flüge,Mehr Bahn-Reisende nach Flugstreichungen
03.07.2022 14:17 Uhr,Dürre in Italien,Verona und Pisa limitieren Trinkwasser
03.07.2022 14:10 Uhr,Corona-Vorbereitungen für Herbst,"""Die Maske wird sicher eine Rolle spielen"""
03.07.2022 13:45 Uhr,Kämpfe in Lyssytschansk,"Russland meldet Einnahme, Ukraine widerspricht"
03.07.2022 11:31 Uhr,EU-Ambitionen Nordmazedoniens,Proteste gegen Zugeständnisse an Bulgarien
03.07.2022 11:23 Uhr,Finnland,Endlager um die Ecke
03.07.2022 10:32 Uhr,Immobilienmarkt,Russischer Ausverkauf in Karlsbad
03.07.2022 09:06 Uhr,Unwetter in Australien,Tausende müssen Häuser in Sydney verlassen
03.07.2022 07:13 Uhr,Arbeitsmarkt,Sechsstellige Zahl von Handwerkern gesucht
03.07.2022 02:49 Uhr,Personalmangel auf Flughäfen,Und nun wird auch noch gestreikt
03.07.2022 01:27 Uhr,Coronavirus,Warten auf das Impfstoff-Update
03.07.2022 01:26 Uhr,Corona-Kosten im Gesundheitswesen,Bund zahlte bislang 53 Milliarden Euro
03.07.2022 00:52 Uhr,Auf Weg zu Offshore-Gasfeld,Israel fängt Drohnen der Hisbollah ab
03.07.2022 00:10 Uhr,Erschossene Journalistin,Palästinenser übergeben tödliche Kugel an USA
