topline,headline,content
30.11.2016 14:14 Uhr,Pläne der EU-Kommission,Großes Feilschen um die Energiewende
30.11.2016 12:04 Uhr,EU-Beitrittsgespräche mit Türkei,Merkel bekräftigt den Status Quo
30.11.2016 09:05 Uhr,Streit um EU-Beitritt,Merkel für Stopp der Beitrittsgespräche
30.11.2016 05:30 Uhr,Rüstungspolitik,EU-Kommission plant Verteidigungsfonds
29.11.2016 15:28 Uhr,Flüchtlingspolitik,Erdogan droht - Chios bangt
28.11.2016 19:10 Uhr,BGH zum Fall Gröning,Was ist das Besondere am Gröning-Beschluss?
25.11.2016 19:13 Uhr,Drogeriemarktketten,dm verkauft Schnäppchen der Konkurrenz
25.11.2016 16:17 Uhr,Projekt der Großen Koalition,Die Rente fit machen - aber wie?
25.11.2016 14:30 Uhr,Nahles' Rentenkonzept,"""Der Lebensstandard wird sinken"""
25.11.2016 08:19 Uhr,EU-Parlament,Wer folgt Schulz auf den Chefsessel?
24.11.2016 20:42 Uhr,EU-Ukraine-Gipfel,Warme Worte für Poroschenko
24.11.2016 19:02 Uhr,EU-Reaktionen zu Schulz-Wechsel,Kann Mr. Europa auch Bundespolitik?
24.11.2016 12:33 Uhr,Votum des EU-Parlaments,Stopp der Türkei-Gespräche gefordert
24.11.2016 10:51 Uhr,Wechsel in die Bundespolitik,Schulz will in Berlin für Europa kämpfen
24.11.2016 03:07 Uhr,Vor Abstimmung über EU-Beitrittsgespräche,Die kalte Schulter des R. T. Erdogan
23.11.2016 22:22 Uhr,Teilprivatisierung vom Tisch,Die Autobahn bleibt staatlich
23.11.2016 20:40 Uhr,Israels Premier unter Druck,Vetternwirtschaft beim Kauf von U-Booten?
23.11.2016 16:57 Uhr,Mitglieder der EU-Kommission,Regelverschärfung nach Barroso-Eklat
23.11.2016 15:19 Uhr,EU-Beschluss,Neue Regeln für bessere Atemluft
23.11.2016 13:44 Uhr,EU-Parlament zur Türkei,Einfrieren statt abbrechen
23.11.2016 11:56 Uhr,Urteil des EuGH,Pestizid-Mixtur ist kein Geheimnis
23.11.2016 09:57 Uhr,Erdogan-Kritik am EU-Parlament,"""Diese Abstimmung hat keinen Wert"""
23.11.2016 05:34 Uhr,Urteil des EuGH erwartet,Streit über Glyphosat-Auskunftsrechte
22.11.2016 20:26 Uhr,EU-Parlament und Türkei,Plädoyer fürs Gefrierfach
22.11.2016 14:27 Uhr,Wirtschaftsforscherin zu Trump,"""TPP-Ausstieg ist nicht sinnvoll"""
22.11.2016 13:02 Uhr,Befragung von Piloten,Müde im Cockpit? Für viele normal
21.11.2016 15:48 Uhr,Anschlag in Kabul,Viele Tote bei Attentat auf Moschee
21.11.2016 15:24 Uhr,Fillons Triumph bei der Vorwahl,"Der Sieg des ""französischen Schröders"""
21.11.2016 14:20 Uhr,Vorwahl der Konservativen,"Sarkozy scheitert, Fillon klar vorn"
21.11.2016 13:57 Uhr,Vorwahlen in Frankreich,Was Merkel von Fillon lernen kann
21.11.2016 11:53 Uhr,Deutsche Jugendliche als IS-Kämpfer,Aus dem Klassenzimmer in den Dschihad
21.11.2016 08:18 Uhr,Genozid in Ruanda,Eine späte Entschuldigung
