topline,headline,content
13.04.2022 22:11 Uhr,DAX über 14.000 Punkten,Wall Street kräftig erholt
13.04.2022 21:04 Uhr,Nach Schüssen in New Yorker U-Bahn,Polizei nimmt Verdächtigen fest
13.04.2022 20:59 Uhr,Coronavirus-Pandemie,++ Sachsen schafft Corona-Verordnung für Schulen ab ++
13.04.2022 20:35 Uhr,Baerbock warnt vor Hungerkrise,"""Wir werden uns nicht abwenden"""
13.04.2022 18:48 Uhr,Gräueltaten in der Ukraine,OSZE sieht Beweise für gezielte Tötungen
13.04.2022 18:00 Uhr,Selenskyjs Ausladung Steinmeiers,Die Absage sollte ein Weckruf sein
13.04.2022 17:54 Uhr,Berichte aus der Ukraine,Sexualisierte Gewalt als Methode
13.04.2022 17:10 Uhr,Baumarktkette gibt Filialen ab,Obi kommt Enteignung in Russland zuvor
13.04.2022 17:05 Uhr,Schüsse in New Yorker U-Bahn,Polizei fahndet nach 62-Jährigem
13.04.2022 16:36 Uhr,Nach Cyberangriff auf Ukraine,Sorge um Deutschlands IT-Sicherheit
13.04.2022 16:22 Uhr,Nach Steinmeier-Ausladung,Scholz lässt Kiew-Reise offen
13.04.2022 16:00 Uhr,Ausbildungsmarkt,Corona-Delle im dualen System
13.04.2022 15:46 Uhr,Driving Season stützt Ölpreis,Steigen die Spritpreise zu Ostern wieder?
13.04.2022 15:37 Uhr,Unter anderem wegen Betrugs,Ex-Raiffeisen-Chef muss ins Gefängnis
13.04.2022 15:32 Uhr,Militärhilfe für die Ukraine,EU gibt weitere 500 Millionen Euro
13.04.2022 15:18 Uhr,Transfeindliche Straftaten,Viele Fälle bleiben wohl im Dunkeln
13.04.2022 15:07 Uhr,Starkregen an der Ostküste,250 Tote nach Unwetter in Südafrika
13.04.2022 14:22 Uhr,Energiegewinnung,Solarenergie geht auch auf kleiner Fläche
13.04.2022 13:54 Uhr,Großbritannien,Lebenslang für Amess-Mörder
13.04.2022 13:33 Uhr,Möglicher NATO-Beitritt,"Finnland will ""binnen Wochen"" entscheiden"
13.04.2022 13:24 Uhr,Nach Steinmeier-Ausladung,Wie weiter mit der Ukraine?
13.04.2022 13:21 Uhr,Bau und Verkehr,Am Klimaziel vorbeigerauscht
13.04.2022 12:47 Uhr,Außenhandel im März,China steigert Exporte deutlich
13.04.2022 12:44 Uhr,Erlaubnis des Innenministeriums,Regenbogenflagge nun auch an Bundesgebäuden
13.04.2022 12:34 Uhr,Krieg gegen die Ukraine,Ukraine meldet Abschuss von Kampfflugzeug
13.04.2022 12:13 Uhr,Agrarwende auf dem Prüfstand,Was hilft gegen hohe Lebensmittelpreise?
13.04.2022 12:13 Uhr,Folgen der hohen Inflation,Ansturm auf die Discounter
13.04.2022 12:04 Uhr,Steinmeier-Ausladung,Die Ukraine tut sich keinen Gefallen
13.04.2022 12:00 Uhr,Bundeskabinett,Rentenerhöhung zum 1. Juli beschlossen
13.04.2022 11:18 Uhr,Frühjahrsgutachten,220 Milliarden Euro in Gefahr
13.04.2022 10:23 Uhr,US-Bundesstaat Oklahoma,Zehn Jahre Haft für Abtreibungen
13.04.2022 10:11 Uhr,Wegen Twitter-Investment,Sammelklage gegen Elon Musk gestartet
13.04.2022 10:05 Uhr,Holocaust-Überlebender Zabarko,"""Wir retten uns vom Tod ins Leben"""
13.04.2022 10:00 Uhr,Nach Besuch in der Ukraine,Parlamentarier für schnelles Ölembargo
13.04.2022 09:29 Uhr,Hilfe für die Industrie,Kritik an Gaspreis-Subventionen
13.04.2022 09:16 Uhr,"Nach Strafe in ""Partygate""-Affäre","""Er muss zurücktreten"""
13.04.2022 09:06 Uhr,Impfstoff und Propaganda,Russland rechnet sich an die Spitze
13.04.2022 08:33 Uhr,Krieg gegen die Ukraine,Offenbar mehr als 700 Tote in Kiews Vororten
13.04.2022 08:30 Uhr,Regionale Einkommensunterschiede,Wo die reichen Deutschen leben
13.04.2022 08:23 Uhr,Bundeskabinett,Größte Rentenerhöhung seit Jahrzehnten
13.04.2022 06:44 Uhr,Ukrainische Absage an Steinmeier,Deutschland in der Zwickmühle
13.04.2022 06:38 Uhr,Schüsse in U-Bahn-Station,New Yorker Polizei geht nicht von Terrorakt aus
13.04.2022 05:00 Uhr,Entsorgung ohne Kontrolle?,Schlachtabfälle auf bayerischen Feldern
13.04.2022 04:03 Uhr,Finnland und Schweden,Startschuss für den NATO-Beitritt?
13.04.2022 03:01 Uhr,Krieg gegen die Ukraine,Biden wirft Putin Völkermord vor
13.04.2022 00:15 Uhr,Krieg gegen die Ukraine,++ Ukraine meldet Festnahme von Putin-Vertrautem ++
13.04.2022 00:09 Uhr,1:1 gegen Villareal,Bayern verfehlen Champions-League-Halbfinale
